fixationStart,fixationEnd,imageStart,imageEnd,audioStart,audioEnd,keyPress
2.1000043489038944e-05,0.10171010007616132,0.10173520003445446,0.5024269000859931,0.20180000003892928,0.41705500008538365,1.5220291999867186
0.5024472000077367,0.6026810000184923,0.6026995000429451,1.0033289000857621,0.702770100091584,0.9169646000955254,2.890879000071436
1.003342500072904,1.103731399984099,1.1037534000352025,1.5043158000335097,1.2204567000735551,1.436972700059414,3.274735299986787
1.504339100094512,1.6045520000625402,1.6045642000390217,2.0052714000921696,1.7046627000672743,1.917018200038001,4.260149300098419
2.0052892999956384,2.105852000066079,2.1058905000099912,2.5064363999990746,2.2225902000209317,2.4369829000206664,4.427423799992539
2.506457200041041,2.6069759000092745,2.606988799991086,3.007377800066024,2.723542800056748,2.9376255000242963,4.577529400005005
3.0074032000266016,3.107768199988641,3.1077804000815377,3.508186800056137,3.2243159000063315,3.4369550000410527,4.711074299993925
3.50820979999844,3.608498200075701,3.608510800055228,4.009187999996357,3.708592400071211,3.9276318000629544,6.798295799992047
4.0092015999834985,4.109477200079709,4.109488800051622,4.510137500008568,4.209534700028598,4.426992700085975,8.000941200065427
4.510161100071855,4.610587500035763,4.610599600011483,5.011129299993627,4.710768199991435,4.927022300078534,9.520411100005731
5.011143199983053,5.111515900003724,5.111527800094336,5.512164600077085,5.211539300042205,5.427006600075401,
5.512178600067273,5.6125061000930145,5.61251860007178,6.013105800026096,5.712520900066011,5.926941700046882,
6.013130999985151,6.113489900017157,6.113500999985263,6.514099100022577,6.230178300058469,6.446927300072275,
6.5141127000097185,6.61447470006533,6.614487600047141,7.015109900035895,6.71449530008249,6.926970300031826,
7.015123900026083,7.1154113000957295,7.115422300063074,7.516102900030091,7.215467600035481,7.426946300081909,
7.516116200014949,7.616473300033249,7.616485700011253,8.017283700057305,7.7165224000345916,7.926960300072096,
8.017317700083368,8.11759030004032,8.117605300038122,8.518226600019261,8.217690800083801,8.437632900080644,
8.518240600009449,8.618340900051408,8.618353100027889,9.019003900000826,8.718393600080162,8.936992700095288,
9.019017199985683,9.11935400008224,9.119366900064051,9.519989900058135,9.219374799984507,9.437103700009175,
9.520003500045277,9.620250900043175,9.620263100019656,10.020937200053595,9.72040700004436,9.93699010007549,
